title,genre,director,country,year
,,Уэс Андерсон,США   Великобритания,2009
,,Оксана Черкасова,СССР,1987
,"тёмное фэнтези ,  драма ,  боевик ,  меч и колдовство","Наохито Такахаси 
Тосиюки Кубоока 
Тосиюки Кубоока 
Тосиюки Кубоока 
Син Итагаки",,
,,Энгус Маклейн,США,2008
,,Юрий Кулаков,Россия   Великобритания   США,1998
,,Себастьян Монтес Скутер Тидвелл,США,2007
,,Энрико Жардим Джон Макинтайр,США,2020
,,Зиновий Ройзман,СССР,1974
,,"Руководящий режиссёр   .mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0} 
 Дэвид Хэнд 
 
 Режиссёры сцен   
 Перс Пирс 
 Уильям Коттрелл 
 Ларри Мори 
 Уилфред Джексон 
 Бен Шарпстин",США,1937
,,Елена Петкевич,Беларусь,2012
,,Джон Хаули,США,1989
,,Дэйв Флейшер,США,1933
,,Сергей Серёгин,Россия,2010
,,А. Иванов,СССР,1947
,,Инна Евланникова Александр Храмцов,Россия,2014
,,Пол Стенли,США,1964
,,Герд Освальд,США,1963
,,Сергей Колосов,СССР,
,,Барри Левинсон,США,
,,Михаил Григорьев,СССР,1969
,,Александр Гуткович Наум Ардашников,СССР,1971
,,Ахим Хюбнер,ГДР,1960
,,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Майкл Койш",Канада   США,1993
,,Виталий Четвериков,СССР,1975
,,Сергей Ашкенази,СССР,1982
,,Дэвид Друри,"США ,    Великобритания ,    Германия",1997
,,Расселл Барнс,Великобритания,2007
,,Пол Зиллер,США   Канада,2006
,,Валерий Ахадов,СССР,1971
,,Роберт Льюис,США,1990
,,Роберт Исков,США,2002
,,Марсель Кравенн,Франция,1973
,,Паоло Тавиани Витторио Тавиани,Италия   Франция   ФРГ,2001
,,Шелдон Уилсон,США,2007
,,Тамара Лисициан,СССР,1977
,,Бернард Ноулесс  The Beatles,Великобритания,1967
,,Лев Л. Спиро,США,2009
,,Роберт Либерман,Канада   США,2004
,,Альберто Сирони,Великобритания       Италия,2009
,,Ласло Бенедек,США,1964
,,Базз Кьюлик,США   Италия   Югославия,1989
,,Джеймс Хэйман,США,2009
,,Серджо Толедо,Великобритания,1991
,,Тимофей Левчук Григорий Кохан,СССР,1990
,,Стивен С. Миллер,США,2011
,,Мэри Ламберт,США,2011
,,Алекс Марч Пол Стадер,США,1978
,,Виктор Гонсалес,США,2013
,,Олег Гойда,СССР,1991
,,Александр Бланк,СССР,1985
,,Питер Уир,Австралия,1979
,,Борис Шадурский,СССР,1983
,,Стив Бэррон,США,2003
,,Ричард Эйр,Великобритания,1981
,,Жан Пьер Ру,США     Великобритания     Германия     Испания,2002
,,Майкл Паттинсон,США,2000
,,Пол Зиллер,США,1995
,,Андрей Зайцев,Россия,2010
,,Николаус Лейтнер,Германия   Австрия,2008
,,Роман Баскин,Эстония,2006
,,Людвиг Кремер,ФРГ,1959
,,Михаил Козаков,СССР,
,,Владимир Краснопольский Валерий Усков,СССР,1976
,,Томми Ли Джонс,США,2011
,,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Кеннет Джонсон",США,1970
,,Стивен Уильямс,Канада,2002
,,Стюарт Марголин,США,1994
,,Игорь Усов,СССР,1976
,,Евгений Гинзбург,СССР,1986
,,Джон Лэнг,США,2006
,,Стив Бэррон,США   Великобритания,1998
,,Роберт Марковиц,Великобритания   США,2000
,,Анна Граждан,Россия,
,,Том Маклафлин,США,2003
,,Алексей Коренев,СССР,1970
,,Анатолий Буковский,СССР,1970
,,Антонис-Янис Воязос,СССР,1975
,,Гленн Джордан,США,1993
,,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Матти Гешоннек",Германия,2022
,,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Heinz Schirk",ФРГ,1984
,,Валентин Козачков,СССР,1970
,,Майкл Веяр,США,2002
,,Джеф Мёрфи,США   Мексика,1993
,,Лариса Шепитько,СССР,1968
,,Кристофер Рив,США,1997
,,Мери Анджапаридзе,СССР,1961
,,Чарльз Джэрротт,США   Канада   Германия,1995
,,Нина Компанеец,Франция,2011
,,"Роберт Янг  , Роберт Кэмпбелл  , Кристин Уайзер",США,1976
,,Роберт Коллинз,США,1992
,,,СССР,
,,Шелдон Ларри,США   Канада   Франция,1992
,,Александр Франскевич-Лайе,Беларусь   Россия,2008
,,Григорий Липшиц,СССР,1977
,,Геннадий Иванов,СССР,1981
,,Марлен Хуциев,СССР,1970
,,Крейг Баксли,США   Канада,1999
,,"Николай Рашеев 
 Абрам Народицкий",СССР,1971
,,Джерри Лондон,США,1974
,,Тамаз Гомелаури Вахтанг Кикабидзе,СССР,1981
,,Серик Райбаев,СССР,1976
,,Мартин Кэмпбелл,США,1991
,,Николай Калинин,СССР,1975
,,Лесли Либман,США,
,,Эл Уэксман,Канада,1992
,,Дон Тейлор,Великобритания   США,1988
,,Райнер Вернер Фасбиндер,ФРГ,1972
,,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Тоби Хайнс",Великобритания,2019
,,Марвин Дж. Чомски,США   Новая Зеландия,1989
,,Бахтиёр Худойназаров,СССР,1991
,,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Маркус Олссон",Швеция,2001
,,Том Клегг,ЮАР   Великобритания,1999
,,Ларри Шоу,США,1998
,,Брэдфорд Мэй,США,1995
,,Джеймс Кич,США,1994
,,Ким Мэннерс,США,1994
,,Гэри Хоффман,США,1992
,,Алексей Коренев,СССР,1973
,,Анатолий Тютюнник,СССР,1982
,,Стюарт Гиллард,США   Канада,2010
,,Кари Скогланд,Канада,2003
,,Арунас Жебрюнас,СССР,1984
,,Кристоф Оноре,Франция,2002
,,Морис Казнёв,Франция    Бельгия    Швейцария    ФРГ,1975
,,Ингмар Бергман,Швеция,1986
,,Том Клегг,Великобритания,1995
,,Эд Жернон,США,2002
,,Брюс Дэвисон,США,2012
,,Ди Рис,США,2015
,,Кристиан МакИнтайр,США,2001
,,Ричард Мичелс,США,1981
,,Александр Полынников Виктор Макаров,СССР,1981
,,"Гига Лордкипанидзе , Гизо Габескирия",СССР,1980
,,Стив Шилл,Великобритания   Германия   Канада,
,,Алекс Уинтер,США,2007
,,Алекс Уинтер,США,2009
,,Анатолий Ниточкин,СССР,1982
,,Пол Красни,США,1994
,,Леонид Белозорович,Беларусь   Россия,
,,Майкл Кон,США,1997
,,Кэролайн Томпсон,Канада   Германия   США,2001
,,Михаил Козаков,СССР,1978
,,Джон Макферсон,США,1991
,,Жан-Даниэль Верхак,Франция   Чехия   Германия,2000
,,Леонид Полонский,СССР,1970
,,Николай Засеев-Руденко,СССР,1982
,,Николай Александрович,СССР,
,,Чарльз Джэрротт,США,1987
,,Винсент МакЭвети,США,1991
,,Томаш Шадковский,ПНР,1986
,,Майкл Тошиюки Уно,США,1992
,,Ди Джей Макхейл,США,1997
,,Джерри Джеймсон,США,1975
,,Айлинг Уолш,Великобритания,
,,Джеффри Сакс,Великобритания,2002
,,Сергей Овчаров,СССР,1980
,,Джон Милиус,США,1994
,,Сандра Голдбахер,Великобритания,2007
,,Джулиан Фарино,Великобритания,2003
,,Валерий Харченко   Юрий Клебанов,СССР,1979
,,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Антонин Москалик",Чехословакия,1971
,,Нинель Ненова Гено Цулая,СССР,1977
,,Дервла Уолш,Великобритания,2015
,,Георгий Юнгвальд-Хилькевич,СССР,1979
,,Дик Лоури,США   Литва,2001
,,Вольфганг Петерсен,ФРГ,1977
,,Дэвид Джексон Дик Лоури,США,1999
,,Байрон Хаскин,,
,,Марина Голдовская,СССР,1975
,,Стив Бэррон,США   Великобритания   Германия,2000
,,Юрий Вышинский,СССР,1963
,,Даниэль Касателле Изабелла Кларк,Франция,2009
,,А. Белинский В. Васильев,СССР,1982
,,Саймон Лэнгтон,США,1985
,,Михаил Жаров Виталий Иванов Владимир Рапопорт,СССР,1973
,,Ральф Хемекер,США,2007
,,"Сергей Кисляков,  Дмитрий Ларченко,  Юрий Устинов",Россия,2012
,,Марвин Чомски,США    Австрия   Италия,1986
,,Дон Э. ФонтЛеРой,США,2009
,,Дон Э. Фонтлерой,США   Румыния,2008
,,Дэвид Белтон,США,2012
,,Сэндор Стерн,США,1989
,,Борис Квашнёв,РСФСР   Россия,1992
,,Томми О’Хейвер,США,2007
,,Лоуренс Шиллер,США,
,,Марийонас Гидрис,СССР,1981
,,Джон Кролл,США,1995
,,Ли Филипс,США,1974
,,Ник Уиллинг,США   Германия   Великобритания,1999
,,Гарри Харрис,США,1985
,,Джон Хендерсон,Великобритания,1998
,,Тим Бёртон,США,1986
,,Боб Мисиоровски,США   Израиль     ЮАР,1999
,,Деклан О’Брайен,США,2010
,,Энтони Ферранте,США,2014
,,Энтони Ферранте,США,2013
,,Роберт Хэрмон,США,2004
,,Дуглас Кэмфилд,США   Великобритания,1982
,,Геннадий Беглов,СССР,1989
,,Мик Гаррис,США,1997
,,Януш Маевский,Польша,1964
,,Иосиф Райхельгауз,Россия,1993
,,Павел Тупик,Россия,2012
,,Рамин Бахрани,США,2018
,,Джейсон Коннери,США,2011
,,Леонид Квинихидзе,СССР,1978
,,Джон Кассар,США,2008
,,Григорий Никулин,СССР,1981
,,Питер Делуиз,США,2010
,,Марк Захаров,СССР,1976
,,Уильям Фридкин,США,
,,Рассел Малкэхи,США,2004
,,Питер Дэвисон,Великобритания,2013
,,Жан Имаж   Чарльз Фрэнк (англоязычная версия),Франция,1950
,,Владимир Лещёв,Латвия,2004
,,Михаил Алдашин,Россия,2012
,романтическая драма,"Тэцуя Ватанабэ Китахата Тору 
 Тэцуя Ватанабэ Кимура Хироси 
Сага Сатоси 
 Хидэки Такаяма",,
,,"Инна Евланникова , Александр Храмцов",Россия,2020
,,Святослав Ушаков  (постановщик) Инна Евланникова  (постановщик),Россия,2010
,,Владимир Данилевич,СССР,1968
,,Галина Тургенева,СССР,1981
,,"Кацухито Акияма 
Кацухито Акияма 
Кацухито Акияма 
Кацухито Акияма",,
,"комедия ,  спокон ,  приключения","Кавасэ Тосифуми Ким Сон Бом 
Такэути Ёсио 
Ясуми Тэцуо Такэути Ёсио Имадзаки Ицуки 
Хасимото Мицуо 
 Сугисима Кунихиса 
Сугисима Кунихиса 
Сугисима Кунихиса 
Сугисима Кунихиса 
Акияма Кацухито 
Акияма Кацухито 
Акияма Кацухито Ямагути Кэнтаро 
Акияма Кацухито",,
,,Аб Айверкс Уолт Дисней,США,1928
,,Дэвид Хэнд,США,1933
,,Наталья Мальгина,Россия,2010
,"романтика,  трагикомедия ,  приключения ,  фэнтези ,  драма","Котаро Тамура 
Котаро Тамура 
Котаро Тамура 
Котаро Тамура",,
,,Борис Степанов,СССР,1980
,,Станислав Соколов,СССР,1981
,,Джон Лассетер,США,1989
,,Курт Геда,США,2016
,,Батч Лукич,США,2015
,,Батч Лукич,США,2015
,"приключения ,  комедия ,  фэнтези ,  этти","Ацуко Исидзука 
 Ацуко Исидзука",,
,,Вадим Курчевский,СССР,1982
,,Эмиль Рейно,Франция,1892
,,Идея Гаранина,СССР,1978
,,Пётр Носов,СССР,1963
,,Эдуард Назаров,СССР,1975
,,Дон Блут Гэри Голдман,США,1999
,,Карел Земан,Чехословакия,1961
,,"Леонид Амальрик ,   Владимир Полковников",СССР,1941
,,Елена Галдобина Фёдор Дмитриев,Россия,2022
,,Елена Галдобина Федор Дмитриев,Россия,2020
,,Уильям Лау Терри Классен,США,2011
,,Изекиль Нортон,США,2015
,,Уильям Лау,США,2004
,,Адам Л. Вуд,США,2010
,,Оуэн Херли,США,2003
,,Грег Ричардсон,США,2005
,,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Зеке Нортон",США,2011
,,Конрад Хелтен,США,2009
,,Оуэн Херли,США,2001
,,Уильям Лау,США,2009
,,Келли Кайран,США,2013
,,Оуэн Хёрли,США   Канада,2002
,,Грег Ричардсон,США,2006
,,Джей Грэйс,Великобритания,2015
,,"Уилл Бечер,  Ричард Фелан","Великобритания ,    Франция",2019
,,Марк Бёртон,Великобритания    Франция,2015
,,"Бад Лаки ,  Роджер Гулд",США,2003
,,Наталия Голованова,СССР,1990
,,Александра Снежко-Блоцкая,СССР,1963
,,Доми Ши,США,2018
,,"Сергей Юткевич 
 Анатолий Каранович",СССР,1962
,,Крис Уэдж,США,1998
,,Гарри Бардин,СССР,1986
,,Иосиф Боярский,СССР,1962
,,Фил Вайнштейн,США,2004
,,Фил Вейнштейн,США,2002
,,Саймон Уэллс,США,1995
,,"Михаил Калинин ,   Роман Давыдов",СССР,1955
,,Лев Атаманов,СССР,1969
,,Эрик Саммер Эрик Уорин,Канада   Франция,2016
,,Йорген Лендарм,Дания,2010
,,Кристоф  и  Вольфганг Лауэнштайны,ФРГ,1989
,,Бржетислав Пояр,Канада,1972
,,Тэд Стоунс,США,2000
,,Энгус Маклейн,США,2022
,,Анатолий Солин,Россия,1992
,,Леонид Амальрик,СССР,1963
,,Лев Мильчин,СССР,1969
,,Андрей Золотухин,Россия,1996
,,Валерий Угаров,СССР,1978
,,Андрей Хржановский,СССР,1972
,,"Валерий Угаров , Ирина Литовская (ассистент)",Россия,2006
,,Марина Медвидь,Украина,2014
Баба-яга против!,,Владимир Пекарь,СССР,1979
,"фэнтези ,  приключения",Горо Миядзаки,,
,,Тони Тэнг,США,2012
,,Чо Бомчжин,Республика Корея,2006
,Ситком,,Израиль,
,,Иван Уфимцев,Россия,1994
,,Юлиан Калишер,СССР,1987
,,Фумитомо Кидзаки,Япония,2009
,,"Леонид Аристов , Игорь Николаев",СССР,1963
,,Гари Труздейл Кирк Уайз,США,2001
,,"Виктор Кук 
 Тоби Шелтон 
 Тад Стоунс",США,2003
,"боевик ,  драма ,  тёмное фэнтези ,  постапокалиптика","Тэцуро Араки  (1–59) 
 
Масаси Коидзука (26–59) Юитиро Хаяси (60–89, 93-94) Дзюн Сисидо (60–92) Рёта Аикэи (89-90) Кио Игараси (89, 92-93) 
 Тэцуро Араки 
 Тэцуро Араки 
 Тэцуро Араки Масаси Коидзука 
 Тэцуро Араки Масаси Коидзука 
Юитиро Хаяси, Рёта Аикэи, Токио Игараси 
Юитиро Хаяси",,
,,Дэвид Бауэрс,США     Япония   Гонконг,2009
,,"Александр Астье , Луи Клиши",Франция    Бельгия,2014
,,Гаэтан Брицци Пол Брицци,Франция   Бельгия,1985
,,Рей Госсенс,Франция   Бельгия,1967
,,Александр Астье Луи Клиши,Франция,2018
,,Рене Госинни Альбер Удерзо,Франция   Бельгия,1968
,,Стефан Фьельдмарк Еспер Мюллер,Франция   Дания,2006
,,Герхард Хан,Германия   Франция,1994
,,Пино ван Ламсвеерде,Франция   Бельгия,1986
,,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Félix Dufour-Laperrière",Канада,2021
,,Так Такер,США,2002
,,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Ryan Crego",США,2021
,"приключения ,  фэнтези ,  сказка",Хиромаса Ёнэбаяси,,
,,Александра Снежко-Блоцкая,СССР,1971
,,Квирино Кристиани,Аргентина,1917
,,Галина Баринова,СССР,1976
,,Леонид Носырев,СССР,1969
,,"Дьюк Джонсон,  Чарли Кауфман",США,2015
,,Рой Уилсон,США,1997
,,"Альфредо Содергуит, Альфредо Содергит",Уругвай   Колумбия,2013
,"киберпанк ,  постапокалиптика ,  боевик ,  драма",Кодзи Моримото Синъитиро Ватанабэ Махиро Маэда Питер Чунг Энди Джонс Ёсиаки Кавадзири Такэси Коикэ,США,
,,Игорь Ковалёв,СССР  →    Россия,1991
,"фантастика ,  боевик ,  сёнэн ,  меха ,  этти","Коити Охата 
 Коити Охата",,
,,Захариас Кунук,Канада,2021
,,Дон Блут Гари Голдман,США,1997
,,Давид Саакянц Люля Саакянц,Армения,2014
,,Дон Блут,США,1986
,,Ларри Лэтэм,США,1999
,,Ларри Лэтэм,США,1998
,,Фил Ниббелинк Саймон Уэллс,США,1991
,,Мэтт Томпсон,США,2021
,,Геннадий Тищенко,Россия,1994
,,Энтони Белл Бен Глюк,США   Индия   Канада,2010
,,Ричард Рич,США,2014
,,"Ричард Рич , Энтони Белл",США,2013
,,Тим Малтбу,США,2005
,,Юрий Прытков,СССР,1971
,,Уолт Дисней,США,1925
,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0} 
 Клайд Джероними 
 Уилфред Джексон 
 Хэмилтон Ласк 
 Джек Кинни",США,1951
,,Ян Шванкмайер,Чехословакия   Швейцария   Великобритания   ФРГ,1988
,,Григорий Ломидзе,СССР,1959
,"приключения ,  сказка",Сидара Хироси,,
,,Роман Качанов,СССР,1964
,,Константин Бронзит,Россия,2004
,,Лев Атаманов,СССР,1952
,,Юрий Елисеев,СССР,1974
,,Лев Шукалюков,СССР,1974
,,Тэд Стоунс,США   Австралия   Япония,1996
,,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Дэйв Флейшер",США,1939
,,Масакадзу Хигути Тинами Намба,США   Япония,1992
,,Джон Маскер Рон Клементс,США,1992
,"психологическая драма ,  исторический",Сатоси Кон,,
,,Амен Хайдаров,СССР,1968
,"боевик ,  постапокалиптика ,  киберпанк",Кацухиро Отомо,"Япония ,    США",
,,Франгиз Курбанова,СССР,1983
,"приключения ,  фантастика ,  меха ,  драма , романтика","Сёдзи Кавамори 
 Сёдзи Кавамори 
 Сёдзи Кавамори 
 Сёдзи Кавамори 
Кэндзи Итосо",,
,,Аида Зябликова,СССР,1980
,,Владимир Попов,СССР,1986
,,Рихард Клаус Хосе Селада,Перу   Нидерланды   Германия,2021
,,Наталия Червинская,СССР,1973
,,"Николас Столлер 
 Даг Свитленд",США,2016
,,Ирина Гурвич,СССР,1964
,,Иван Аксенчук,СССР,1956
,,Мишель Осело  (Michel Ocelot),Франция       Испания       Бельгия       Италия,2006
,"комедия , школа,  повседневность","Хироси Нисикиори 
 Хироси Нисикиори 
 Фумиаки Асано",,
,,Минкью Ли,США,2013
,,Гарри Бардин,Россия   Франция   Испания,2000
,"фэнтези ,  драма",Ли Хаолин,,
,научная фантастика,Фумихико Сори,,
,,Анатолий Резников,СССР,1987
,,Эльберт Туганов,СССР,1972
,,Роман Качанов,СССР,1973
,,Кристиан Димар Франк Экинджи,Франция   Бельгия   Канада,2015
,,"Владимир Данилевич ,   Иван Иванов-Вано",СССР,1972
,,"Янис Цимерманис, Даце Ридузе",Латвия,1991
,,Анатолий Аляшев,СССР,1974
,,Карен Дишер Гай Мур,США,2000
,,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Карен Дишер",США,2002
,,Ц. Оршанский,СССР,1972
,,Лидия Сурикова,СССР,1984
,"приключения ,  историческая   драма","Исао Такахата 
 Исао Такахата ,  Хадзимэ Окаясу 
 Кодзо Кудзуха",,
,,"Прийт Пярн ,  Янно Пылдма","Эстония ,    Финляндия ,    Великобритания",1995
,,"Джим Каммеруд , Брайан Смит",США,2003
,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0} 
 Вольфганг Райтерман 
 Клайд Джероними 
 Хэмилтон Ласк",США,1961
,,Владимир Самсонов,СССР,1988
,,"Ю. Норштейн ,  А. Тюрин",СССР,1968
,"психологический триллер ,  научная фантастика","Юкихико Цуцуми 
 Юкихико Цуцуми",,
,,Хайме Эскудеро Хуан-Карлос Трупп,Чили,1942
,"повседневность , романтика","Масахару Окуваки 
 Масаки Одзора 
 Масаки Одзора",,
,,Крис Дженкинс,Великобритания   Канада   Франция   США,2024
,,Татья Розенталь,Австралия,2008
" (мультфильм, 2009)",,Шейн Экер,США,2009
,,Шейн Экер,США,2005
,"научная фантастика ,  боевик ,  приключения","Харуюки Кавадзима 
 Акинори Кикути 
 Ясухиро Хориути",,
,романтическая комедия,"Такаси Наоя 
Цутому Ханабуса 
Такаси Наоя",,
,"приключения ,  фэнтези ,  ужасы","Дайсукэ Нисио Кадзухиса Такэноути  (3 серия) 
 Кадзухиса Такэноути",,
,"романтическая комедия ,  этти",Дзюнъити Ватанабэ,,
,"боевик ,  драма ,  приключения ,  фэнтези","Коити Масимо 
 Коити Масимо 
 Коити Масимо 
 Коити Масимо",,
,"психологическая драма ,  киберпанк",Коити Масимо,,
,"комедия ,  киберпанк  ( виртуальная реальность )",Койти Масимо,,
,,"Владимир Дахно , 
 Тадеуш Павленко , 
 Цезарь Оршанский , 
 Ефрем Пружанский , 
 Юрий Скирда",СССР,1973
